"id","Title"
"6639c3bdbf0a76d1ef717be1","Digital Games Research Conference"
"6639c3c8bf0a76d1ef717bed","EMAS (merger of DALT, AOSE and PROMAS)"
"6639c29a4931f50e65517e61","Conference of the Association for Machine Translation in the Americas"
"6639c389bf0a76d1ef717bab","Conference on File and Storage Technologies"
"6639c29e4931f50e65517e65","Conference of the European Association for Machine Translation"
"6639c380bf0a76d1ef717ba1","Conference on Algebra and Coalgebra in Computer Science"
"6639c382bf0a76d1ef717ba3","Conference on Algorithmic Aspects in Information and Management"
"6639c387bf0a76d1ef717ba9","CONFERENCE ON COMPUTER SCIENCE AND INTELLIGENCE SYSTEMS"
"6639c391bf0a76d1ef717bb3","Conference on Innovation in Clouds, Internet and Networks"
"6639c395bf0a76d1ef717bb7","Conference on Integer Programming and Combinatorial Optimization"
"6639c3acbf0a76d1ef717bcf","Current Trends in Theory and Practice of Computer Science"
"6639c3b3bf0a76d1ef717bd7","Design, Automation and Test in Europe Conference"
"6639c3bbbf0a76d1ef717bdf","Digital Audio Effects Conference"
"6639c3c4bf0a76d1ef717be9","Dynamic Languages Symposium"
"6639c3cdbf0a76d1ef717bf3","ETHICOMP Conference"
"6639c2964931f50e65517e5d","Conference for the International Simulation and Gaming Association"
"6639c38dbf0a76d1ef717baf","Conference on Games (was Computational Intelligence and Games CIG)"
"6639c393bf0a76d1ef717bb5","Conference on Innovative Data Systems Research"
"6639c3c2bf0a76d1ef717be7","DNA Computing and Molecular Programming"
"6639c3d1bf0a76d1ef717bf7","Euro Virtual Reality"
"6639c384bf0a76d1ef717ba5","Conference on Combinatorial Optimization and Applications"
"6639c38fbf0a76d1ef717bb1","Conference on Information Sciences and Systems"
"6639c399bf0a76d1ef717bbb","Conference on Interactive Theorem Proving (previously TPHOLs, changed in 2009)"
"6639c3a2bf0a76d1ef717bc5","Conference on Software in Telecommunications and Computer Networks"
"6639c3a7bf0a76d1ef717bc9","Conference on Visualization and Data Analysis"
"6639c3b2bf0a76d1ef717bd5","Datenbanksysteme für Business, Technologie und Web"
"6639c3c0bf0a76d1ef717be5","Discovery Science"
"6639c3c6bf0a76d1ef717beb","Educational Data Mining"
"6639c482078f0b3454c91b7e","Eurographics/IEEE Symposium on Visualization"
"6639c484078f0b3454c91b80","Euromicro Conference on Real-Time Systems"
"6639c37bbf0a76d1ef717b9d","Conference of the Pacific Association for Computational Linguistics"
"6639c38bbf0a76d1ef717bad","Conference on Fun with Algorithms"
"6639c397bf0a76d1ef717bb9","Conference on Intelligent Computer Mathematics"
"6639c39cbf0a76d1ef717bbf","Conference on Robot Learning"
"6639c39fbf0a76d1ef717bc3","Conference on Software Engineering Education and Training (previously Conference is Software Engineering Education, CSEE, changed in 1997)"
"6639c3abbf0a76d1ef717bcd","Cryptographers Track at RSA Conference"
"6639c3aebf0a76d1ef717bd1","Data Compression Conference"
"6639c3b9bf0a76d1ef717bdd","Developments in Language Theory"
"6639c3cfbf0a76d1ef717bf5","EURO AMERICAN CONFERENCE ON TELEMATICS AND INFORMATION SYSTEMS"
"6639c3d6bf0a76d1ef717bfb","Eurographics Symposium on Parallel Graphics and Visualization"
"6639c48b078f0b3454c91b86","European Association for Computational Linguistics"
"6639c28b4931f50e65517e53","Computer Algebra in Scientific Computing"
"6639c28f4931f50e65517e57","Computer Graphics International"
"6639c37ebf0a76d1ef717b9f","Conference on Agile Software Development"
"6639c386bf0a76d1ef717ba7","Conference on Computational Natural Language Learning"
"6639c3b0bf0a76d1ef717bd3","Data Warehousing and Knowledge Discovery"
"6639c3b7bf0a76d1ef717bdb","Developments in eSystems Engineering"
"6639c3bfbf0a76d1ef717be3","Digital Image Computing Techniques and Applications"
"6639c3cabf0a76d1ef717bef","Empirical Methods in Natural Language Processing"
"6639c3cbbf0a76d1ef717bf1","Engineering Interactive Computing Systems"
"6639c3d3bf0a76d1ef717bf9","EuroConference on Combinatorics, Graph Theory and Applications"
"6639c487078f0b3454c91b82","Euromicro Conference on Software Engineering and Advanced Applications"
"6639c489078f0b3454c91b84","Euromicro International Conference on Parallel, Distributed and Network Based Processing"
"6639c29c4931f50e65517e63","Conference of the Association of Asian-Pacific Operational Research Societies"
"6639c39abf0a76d1ef717bbd","Conference on Learning Theory"
"6639c3a5bf0a76d1ef717bc7","Conference on Theory and Applications of Models of Computation"
"6639c3a9bf0a76d1ef717bcb","Cooperative Design, Visualization, and Engineering"
"6639c497078f0b3454c91b92","European Conference on Computer Supported Cooperative Work"
"6639c4b8078f0b3454c91bb0","European Dependable Computing Conference"
"6639c491078f0b3454c91b8c","European Conference on Artificial Intelligence"
"6639c4bc078f0b3454c91bb4","European SPI"
"6639c4c3078f0b3454c91bba","European Symposium on Programming"
"6639c4d0078f0b3454c91bc8","Extending Database Technology"
"6639c4e6078f0b3454c91bd8","Foundations of Software Science and Computational Structures"
"6639c4f8078f0b3454c91be6","Graph Drawing"
